prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
99601314,융복합타악기,Convergence percussion instruments,몸체를 손이나 채로 쳐서 또는 서로 부딪쳐서 소리를 내는 악기. '타악기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601315,융복합악기부속품및보조품,Convergence musical instrument parts and accessories,악기를 고정하거나 보정하는데에 사용되는 용품. '악기부속품및보조품'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601316,융복합악기세트,Convergence musical instrument sets,소리를 내어 음악을 이루는 요소가 되는 기구들의 집합 '악기세트'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601317,융복합악기대용의소리내는기구,Convergence alternative sounds musical instruments,음악을 연주하기 위한 이 외의 목적으로 제작되었지만 악기의 성질을 가진 도구. '악기대용의소리내는기구'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601318,융복합음악및댄스보조품,Convergence music and dance accessories,음악과 댄스를 연출하는데 보조용품으로 사용되는 악세서리 '음악및댄스보조품'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601410,융복합장난감,Convergence toys,어린이들의 놀이 도구. '장난감'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601411,융복합게임,Convergence games,"기술, 능력 등을 겨루는 유형, 무형시합의 통칭. '게임'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99601412,융복합놀이장비및보조용품,Convergence active play equipment and accessories,실내용으로 사용될 수 있는 유아용 놀이장치 및 보조용품 등을 포함함. '놀이장비및보조용품'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99601413,융복합어린이용블록및조립완구,Convergence childrens blocks and building systems,어린이들이 가지고 노는 나무 조각 등의 놀이기구. '어린이용블록및조립완구'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99701015,융복합어업,Convergence fisheries operations,"바다, 강, 호수, 하천 등에서 어류, 갑각류, 연체동물, 해조류 및 기타 수산 동·식물을 채취·포획하거나 증식 또는 양식하는 산업활동과 이에 관련된 서비스를 제공하는 업. '어업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701016,융복합어업감시,Convergence fisheries oversight,사업을 목적으로 수산 동·식물을 포획·채취하는 어로활동을 감시하는 업. '어업감시'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701017,융복합어업관련제조및기술업,Convergence fishery industry and technology,어로어업 또는 양식활동을 직접 수행하지 않고 수수료 또는 계약에 의하여 어로어업 및 양식어업에 관련된 서비스를 제공하는 업. '어업관련제조및기술업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701018,융복합수산물자원,Convergence fisheries resources,"바다, 강 등에서 얻을 수 있는 인간의 생활 및 경제 생산에 이용되는 산물과 관련된 용역. '수산물자원'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701019,융복합양식업,Convergence aquaculture,"바다, 강, 호수, 하천 등에서 어류, 갑각류 및 연체동물 또는 해조류 등의 각종 수산 동·식물을 증식 또는 양식하는 업. '양식업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701090,융복합어업,Convergence fishery,어업과 관련된 전반적인 서비스. '어업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701115,융복합식물및장식용수목,Convergence plants and ornamental trees,식물이나 수목을 대상으로 장식용 및 관상용으로 가꾸고 꾸미는 용역. '식물및장식용수목'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701116,융복합개화수목,Convergence flowering plants,종자식물의 생식기관인 꽃이 피는 땅 위 줄기가 있는 목본 식물 재배와 관련된 용역. '개화수목'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701215,융복합낙농업,Convergence dairying,젖소를 사육하여 우유를 생산하고 우유를 원료로 하여 유제품을 제조하는 업. '낙농업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701216,융복합축산업,Convergence livestock industry,"가축, 가금, 꿀벌, 누에 및 기타 육지동물을 각종 목적으로 사육·번식·증식하는 업으로서, 다만, 운반·경기 등 특정 활동을 수행하면서 그에 사용되는 동물을 사육하거나, 판매장에서 판매할 동물을 사육관리하는 경우와 애완용 동물의 사육관리 대리는 여기에서 제외함. '축산업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701217,융복합가축관리,Convergence livestock management,인간생활에 유용한 동물인 가축을 관리하는 일. '가축관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701218,융복합애완동물산업,Convergence pets industry,인간이 주로 즐거움을 누리기 위한 대상으로 사육하는 동물인 애완동물과 관련된 산업. '애완동물산업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701220,융복합동물건강관리,Convergence animal health,각종 동물들에 대한 질병을 치료하고 건강을 돌보는 일. '동물건강관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701290,융복합축산업,Convergence livestock industry,축산업과 관련된 전반적인 서비스. '축산업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701317,융복합토지및토양관리,Convergence land and soil management,"생산 요소의 하나인 땅을 포함하여, 하천·대기·지하 자원 등의 모든 자연 자원 및 식물에 영양을 공급하여 생장하게 할 수 있는 토양을 관리하는 업. '토지및토양관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701417,융복합작물관리,Convergence crop management,인간이 생활하는데 이용할 목적으로 논·밭에 심어 가꾸는 곡식·채소류를 관리하는 업. '작물관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701418,융복합작물재배및경작,Convergence crop planting and cultivation,"노지 또는 특정 시설 내에서 식량작물, 과실, 음료용 및 향신용 작물, 채소 및 화훼작물, 공예작물 등의 각종 농작물을 재배하여 생산하는 업. '작물재배및경작'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701419,융복합작물수확,Convergence crop harvesting,"인간이 생활하는데 이용할 목적으로 논·밭에 심어 가꾸는 곡식, 채소류를 거두어 들이는 업. '작물수확'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701420,융복합수확작물가공,Convergence post harvesting crop processing,수확된 재배작물을 가공하여 새로운 2차 제품으로 만드는 업. '수확작물가공'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701490,융복합농업,Convergence agriculture,농업과 관련된 전반적인 서비스. '농업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701515,융복합산림관리,Convergence forestry management,"모든 형태의 산림, 임산자원, 산지, 기타 산림의 편익을 창출하고 보전, 지속개발에 관한 세부계획, 임산연구, 관리를 위한 용역. '산림관리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701516,융복합산림산업,Convergence forestry industry,임업용 수목의 종자 및 묘목을 생산하는 업. '산림산업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701517,융복합산림수확,Convergence forestry harvesting,임업용 수목의 종자 및 묘목을 채취하는 업. '산림수확'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701518,융복합산림보존서비스,Convergence forestry conservation services,"산림을 경제적 또는 공익적으로 이용하면서 나무를 심고, 가꾸고, 보호하는 업. '산림보존서비스'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701519,융복합산림자원,Convergence forestry resources,"수목이 집단적으로 생육하고 있는 토지, 즉 임목과 임지로서, 여기에서 인간의 생활 및 경제 생산에 이용되는 물적 자원과 관련된 업. '산림자원'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701590,융복합임업,Convergence forestry,임업과 관련된 전반적인 서비스. '임업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701615,융복합야생동물서비스,Convergence fauna services,야생동물 관련 서비스. '야생동물서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701617,융복합생태계,Convergence ecosystems,어떤 지역의 생물 공동체와 이것을 유지하고 있는 무기적 환경이 종합된 물질계 또는 기능계. '생태계'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701715,융복합수자원개발,Convergence development,지구상에 있는 자연수 중에서 인류가 자원으로서 이용 가능한 물을 개발하는 업. '수자원개발'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99701716,융복합수자원감독,Convergence oversight,"수질관리, 수질검사 등 수자원의 감독과 관련된 업. '수자원감독'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99701717,융복합관개,Convergence irrigation,작물의 생육에 필요한 물과 알맞은 토양환경을 만들기 위해 필요한 물을 인공적으로 농지에 공급해 주는 일. '관개'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711015,융복합광산탐사,Convergence mine exploration,광산에서의 지하자원 매장상태 등을 탐지하기 위한 지질조사 및 탐사서비스를 제공하는 업. '광산탐사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711016,융복합광산시추및발파업,Convergence mine drilling and blasting services,광산에서 지층의 구조나 성상을 알기 위하여 지각 속에 지름이 작은 구멍을 뚫고 화약을 넣어 발파시키는 전문적인 업. '광산시추및발파업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711017,융복합채취,Convergence extraction,광석 채취와 관련된 업. '채취'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711214,융복합유전드릴비트업,Convergence oilfield drilling bit services,석유를 함유한 하나 또는 몇 개의 지층이 단일 지질구조에 지배되어 존재하는 지역에서의 석유 유정굴착 작업과 관련한 업. '유전드릴비트업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711216,융복합석유갱정드릴링업,Convergence oil well drilling services,지하의 유층으로부터 주로 원유를 산출하는 갱정작업과 관련된 업. '석유갱정드릴링업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711227,융복합유정보수서비스,Convergence well maintenance services,갱정이나 유정의 관리·유지보수와 관련된 용역 '유정보수서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711314,융복합시추정생산서비스,Convergence well production services,갱정과 관련하여 어떤 효용을 가진 재화나 서비스를 만들어 내는 활동업. '시추정생산서비스'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99711514,융복합시추정서비스엔지니어링,Convergence well service engineering,지하 자원을 찾아내거나 광석 운반 또는 통풍을 위하여 수평 갱도를 연결하여 수직이나 경사지게 파는 기술과 관련한 업. '시추정서비스엔지니어링'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99721015,융복합건물유지보수업,Convergence building maintenance and repair services,건물의 유지·보수 및 시설관리를 위한 유지·보수업. '건물유지보수업'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99721021,융복합해충통제,Convergence pest control,인간의 생활에나 건축물에 직접·간접으로 해를 끼치는 곤충을 사전에 통제하는 업. '해충통제'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99721029,융복합부지관리관련용역,Convergence facility maintenance and repair services,건물이나 도로 시설을 하기 위한 땅을 관리하는 일과 관련된 용역. '부지관리관련용역'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99721190,융복합건축공사,Convergence building construction services,"종합적인 계획, 관리에 따라 건축하는 공사. '건축공사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99721211,융복합상업및사무용건물건설공사,Convergence commercial and office building construction services,"사무 및 상업용 건물을 건설하는 업으로, 여기에는 학교 및 병원 건설, 상점 및 쇼핑센터 건설, 공공오락용 건물 건설 등이 이에 속함. '상업및사무용건물건설공사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99721212,융복합농업건물건설공사,Convergence agricultural building construction services,"농업 경영 활동에 직접 이용되는 건물을 건설하는 공사로, 곡물 창고, 온실공사, 탈곡장 건물, 농기구 창고 및 축산 관계의 건물 따위가 이에 속함. '농업건물건설공사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99721215,융복합산업용플랜트건설공사,Convergence industrial plant construction services,"종합적인 기술이 요구되는 중화학공업용 설비 또는 이와 유사한 기타 산업용 설비를 조립·설치하는 업으로, 발전설비, 제조설비, 화학물질 처리설비, 화학공업설비 설치공사 등이 이에 속함. '산업용플랜트건설공사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99721411,융복합인프라구축및노면포장공사,Convergence infrastructure building and surfacing and paving services,"도로, 철도, 비행기 활주로, 교량, 터널공사 등의 기간시설에 대한 기반정비 및 노면 포장공사와 관련된 용역. '인프라구축및노면포장공사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99721412,융복합해양건설공사,Convergence marine construction services,"댐, 준설공사, 운하건설, 해양친수공간, 해양레저공간, 항만, 연안 사회간접시설 등 해양공간을 개발하는 공사업. '해양건설공사'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
