prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
82141502,디자인서비스,Art design or graphic services,"실내디자인, 제품디자인, 시각전달매체 디자인(CI, 캐릭터디자인, 그래픽디자인 등) 서비스 또는 디자인에 대한 자문 등",,
82141704,가상현실(VR)서비스,Virtual reality simulation service,"직접 경험하는 듯한 가상의 현실세계를 경험하고 학습할 수 있도록 하며, 가상의 환경은 주로 3차원(3D)으로 개발되고 교육분야·엔터테인먼트 등에서 고객의 요구에 부합하는 상품을 공급하는 서비스.",,
82141705,증강현실(AR)서비스,Augmented reality service,"실제로 존재하는 환경에 3차원(3D) 가상 이미지를 합성하여 마치 원래의 환경에 존재하는 사물처럼 보이도록 하는 컴퓨터 그래픽 기법으로, 사용자에게 다양한 부가정보, 엔터테인먼트 등 분야에서 고객의 요구에 부합하는 상품을 공급하는 서비스.",,
82141706,혼합현실(MR)서비스,Mixed reality simulation service,"증강현실(AR)과 가상현실(VR)의 정보를 결합해 두 세계를 융합시키는 공간을 만들어내고 시각·청각·촉각 등 오감을 활용하여 현실감이 느껴지는 기술을 제공하며, 교육분야·엔터테인먼트 등에서 고객의 요구에 부합하는 상품을 공급하는 서비스.",,
82151599,조각및시각예술용역,Visual art and sculptors services,"시각을 통해 감상하는 예술 작품과 관련된 용역으로, 그림, 판화, 만화, 도예, 조각 등의 예술 작업이 이에 속함.",,
83121599,도서관관련용역,Library services,많은 책과 기타 간행물 등을 수집하고 분류하여 일반이 볼 수 있도록 한 도서관과 관련된 용역.,,
83121699,정보센터관련용역,Information center services,"많은 정보를 수집하고 분류하여 일반이 도움이 될 수 있도록 한 정보센터와 관련된 용역으로, 여행, 전산, 산업정보센터 등이 이에 속함.",,
83999998,유선통신서비스,Wire communication service,"송·수신 양자가 전선으로 연결되고, 그것에 의하여 신호가 매개되는 전기통신의 서비스로서, 전화서비스, 유선 설비접속 서비스 및 인터넷 백본서비스, 전용회선 서비스, 초고속망서비스, 부가 네트워크서비스, 전신 전보서비스, 기타 유선 통신서비스 등을 포함함.",,
83999999,무선통신서비스,Wireless communication service,"통신 케이블을 사용하는 유선통신과는 달리 공간을 전송매체로 하여 송신측에서 정보신호를 전파에 실어 공간에 방사하고, 수신측에서는 공간을 거쳐 전송되어온 전자파를 수신하여 원래의 신호를 복원하는 방식의 통신서비스. 육상 이동통신(이동전화, 무선전화, 무선데이터, 주파수공용통신, 무전기), 해상 이동통신(선박전화, 항만무선전화), 항공 이동통신(항공무선전화, 공항무선전화) 등으로 구분함.",,
84111599,회계서비스,Accounts services,"재무제표 작성, 재무회계 서류의 작성, 감사, 조정, 결산, 원가계산, 회계자문 등의 서비스.",,
